No.,Ticker,Company,Sector,Industry,Country,Market Cap,Founded,P/E,Price,Change,Volume
1,ACN,Accenture plc,Technology,Information Technology Services,Ireland,178.66B,Ireland,33.22,280.77,4.53%,"3,171,950"
2,MDT,Medtronic plc,Healthcare,Medical Devices,Ireland,157.16B,US,56.11,118.56,1.70%,"5,802,885"
3,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,54.11B,US,39.8,138.69,2.11%,"1,988,339"
4,AON,Aon plc,Financial,Insurance Brokers,Ireland,50.85B,UK,27.05,228.31,1.46%,"2,355,304"
5,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,Ireland,42.77B,US,55.29,59.99,1.03%,"5,218,964"
6,TT,Trane Technologies plc,Industrials,Specialty Industrial Machinery,Ireland,39.09B,US,41.83,168.09,2.54%,"807,366"
7,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,38.59B,US,20.78,140.64,-1.43%,"1,656,572"
8,CRH,CRH plc,Basic Materials,Building Materials,Ireland,35.30B,Ireland,32.72,46.39,1.78%,"363,012"
9,RYAAY,Ryanair Holdings plc,Industrials,Airlines,Ireland,21.43B,Ireland,-,114.23,0.10%,"446,752"
10,HZNP,Horizon Therapeutics Public Limited Company,Healthcare,Drug Manufacturers - General,Ireland,18.64B,US,50.86,83.01,-0.23%,"2,067,401"
11,STX,Seagate Technology plc,Technology,Computer Hardware,Ireland,16.85B,US,19.86,76.02,4.17%,"2,832,589"
12,STE,STERIS plc,Healthcare,Medical Instruments & Supplies,Ireland,16.29B,US,38.48,193.68,1.49%,"581,678"
13,JHX,James Hardie Industries plc,Basic Materials,Building Materials,Ireland,13.09B,US,90.93,30.28,2.09%,"34,007"
14,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,11.20B,US,37.36,126.75,2.65%,"471,106"
15,ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research,Ireland,9.71B,Ireland,30.64,190.72,3.73%,"605,540"
16,JAZZ,Jazz Pharmaceuticals plc,Healthcare,Biotechnology,Ireland,9.39B,US,40.06,168.42,1.06%,"380,058"
17,AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland,8.14B,US,-,59.66,1.83%,"966,621"
18,PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,5.60B,US,-,42.01,-0.21%,"587,978"
19,ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,3.68B,US,-,41.83,7.12%,"1,371,969"
20,ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland,3.15B,Ireland,-,19.52,-1.41%,"769,967"
Filters: geo:ireland,,,,,,,,,,,